Date,Source,Words,Document Frequency
2018-01,The New York Times,trump,10
2018-01,The New York Times,new,8
2018-01,The New York Times,president,6
2018-01,The New York Times,trump administration,5
2018-01,The New York Times,administration,5
2018-01,The New York Times,energy,4
2018-01,The New York Times,federal,4
2018-01,The New York Times,president trump,3
2018-01,The New York Times,water,3
2018-01,The New York Times,blow,3
2018-01,The New York Times,proposal,3
2018-01,The New York Times,states,3
2018-01,The New York Times,scientists,3
2018-01,The New York Times,researchers,3
2018-01,The New York Times,caused,3
2018-01,Fox News,ap,3
2018-01,Fox News,trump,2
2018-01,Fox News,country,2
2018-01,Fox News,scientific,2
2018-01,Fox News,coming,2
2018-01,Fox News,administration,1
2018-01,Fox News,polar bears,1
2018-01,Fox News,polar,1
2018-01,Fox News,paying new firstofitskind,1
2018-01,Fox News,paying new,1
2018-01,Fox News,paying,1
2018-01,Fox News,pan thought,1
2018-01,Fox News,pan,1
2018-01,Fox News,palm beach fla,1
2018-01,Fox News,president,1
2018-02,The New York Times,new,5
2018-02,The New York Times,standards,4
2018-02,The New York Times,water,4
2018-02,The New York Times,states,4
2018-02,The New York Times,united states,3
2018-02,The New York Times,united,3
2018-02,The New York Times,trump,3
2018-02,The New York Times,state,3
2018-02,The New York Times,legislature,2
2018-02,The New York Times,food,2
2018-02,The New York Times,set,2
2018-02,The New York Times,life,2
2018-02,The New York Times,drawn,2
2018-02,The New York Times,drawn criticism,2
2018-02,The New York Times,long,2
2018-02,Fox News,paris,3
2018-02,Fox News,agreement,3
2018-02,Fox News,paris agreement,3
2018-02,Fox News,new,3
2018-02,Fox News,world,3
2018-02,Fox News,trump,2
2018-02,Fox News,great,2
2018-02,Fox News,ice,2
2018-02,Fox News,president trump decision,1
2018-02,Fox News,projects,1
2018-02,Fox News,quartz reports,1
2018-02,Fox News,political independence,1
2018-02,Fox News,quartz,1
2018-02,Fox News,proposed,1
2018-02,Fox News,projects area decimated,1
2018-03,The New York Times,new,8
2018-03,The New York Times,administration,4
2018-03,The New York Times,trump,4
2018-03,The New York Times,york,3
2018-03,The New York Times,trump administration,3
2018-03,The New York Times,general,3
2018-03,The New York Times,new york,3
2018-03,The New York Times,europe,2
2018-03,The New York Times,just,2
2018-03,The New York Times,mr pruitt,2
2018-03,The New York Times,ban,2
2018-03,The New York Times,mr,2
2018-03,The New York Times,science,2
2018-03,The New York Times,forward,2
2018-03,The New York Times,weaken,2
2018-03,Fox News,new,3
2018-03,Fox News,sea,2
2018-03,Fox News,sea level,2
2018-03,Fox News,world,2
2018-03,Fox News,level,2
2018-03,Fox News,adjusted,1
2018-03,Fox News,poop determined,1
2018-03,Fox News,poop,1
2018-03,Fox News,point life mars,1
2018-03,Fox News,point life,1
2018-03,Fox News,pope,1
2018-03,Fox News,point,1
2018-03,Fox News,perverse attitudes,1
2018-03,Fox News,perverse,1
2018-03,Fox News,packing poop determined,1
2018-04,The New York Times,epa,10
2018-04,The New York Times,pruitt,9
2018-04,The New York Times,agency,9
2018-04,The New York Times,chief,8
2018-04,The New York Times,spending,6
2018-04,The New York Times,epa chief,6
2018-04,The New York Times,new,5
2018-04,The New York Times,scott,5
2018-04,The New York Times,scott pruitt,5
2018-04,The New York Times,travel,4
2018-04,The New York Times,protection,4
2018-04,The New York Times,protection agency,4
2018-04,The New York Times,ethics,4
2018-04,The New York Times,security,3
2018-04,The New York Times,mr,3
2018-04,Fox News,california,2
2018-04,Fox News,activist,1
2018-04,Fox News,sheet vast field,1
2018-04,Fox News,seattle,1
2018-04,Fox News,seattle sentenced,1
2018-04,Fox News,seattle sentenced serve,1
2018-04,Fox News,sentenced,1
2018-04,Fox News,sentenced serve,1
2018-04,Fox News,sentenced serve prison,1
2018-04,Fox News,serve,1
2018-04,Fox News,serve prison,1
2018-04,Fox News,serve prison targeting,1
2018-04,Fox News,sheet,1
2018-04,Fox News,sheet vast,1
2018-04,Fox News,size,1
2018-05,The New York Times,epa,9
2018-05,The New York Times,chief,6
2018-05,The New York Times,epa chief,5
2018-05,The New York Times,new,4
2018-05,The New York Times,administration,3
2018-05,The New York Times,questions,3
2018-05,The New York Times,auto,3
2018-05,The New York Times,president,3
2018-05,The New York Times,pruitt,3
2018-05,The New York Times,emissions,3
2018-05,The New York Times,rollback,3
2018-05,The New York Times,security,3
2018-05,The New York Times,trump,3
2018-05,The New York Times,mr,3
2018-05,The New York Times,fuel,2
2018-05,Fox News,new,3
2018-05,Fox News,northeast,2
2018-05,Fox News,geneediting,2
2018-05,Fox News,power,1
2018-05,Fox News,power virtual,1
2018-05,Fox News,power virtual currency,1
2018-05,Fox News,powerful,1
2018-05,Fox News,powerful thunderstorms,1
2018-05,Fox News,powerful thunderstorms left,1
2018-05,Fox News,reportedly tore parts,1
2018-05,Fox News,problem,1
2018-05,Fox News,relied,1
2018-05,Fox News,relied adjusted,1
2018-05,Fox News,relied adjusted upward,1
2018-05,Fox News,reportedly,1
2018-06,The New York Times,epa,5
2018-06,The New York Times,new,5
2018-06,The New York Times,agency,4
2018-06,The New York Times,scott pruitt,4
2018-06,The New York Times,president,4
2018-06,The New York Times,trump,4
2018-06,The New York Times,pruitt,4
2018-06,The New York Times,scott,4
2018-06,The New York Times,ice,3
2018-06,The New York Times,temperatures,3
2018-06,The New York Times,researchers,3
2018-06,The New York Times,chief,3
2018-06,The New York Times,administrator,3
2018-06,The New York Times,companies,3
2018-06,The New York Times,world,3
2018-06,Fox News,ice,3
2018-06,Fox News,new,3
2018-06,Fox News,antarctica,3
2018-06,Fox News,humans,2
2018-06,Fox News,administrator,2
2018-06,Fox News,years,2
2018-06,Fox News,nasa,2
2018-06,Fox News,summer,2
2018-06,Fox News,rising,2
2018-06,Fox News,worlds,2
2018-06,Fox News,major,2
2018-06,Fox News,california,2
2018-06,Fox News,world,2
2018-06,Fox News,state,2
2018-06,Fox News,rapidly,1
2018-07,The New York Times,epa,6
2018-07,The New York Times,wheeler,4
2018-07,The New York Times,pruitt,4
2018-07,The New York Times,acting,3
2018-07,The New York Times,pollution,3
2018-07,The New York Times,species,3
2018-07,The New York Times,andrew wheeler,3
2018-07,The New York Times,andrew,3
2018-07,The New York Times,agency,3
2018-07,The New York Times,regulatory,3
2018-07,The New York Times,amid,3
2018-07,The New York Times,levels,3
2018-07,The New York Times,making,3
2018-07,The New York Times,rising,3
2018-07,The New York Times,team,2
2018-07,Fox News,scientists,3
2018-07,Fox News,new,3
2018-07,Fox News,iceberg,3
2018-07,Fox News,world,3
2018-07,Fox News,greenland,3
2018-07,Fox News,big,2
2018-07,Fox News,greenland village,2
2018-07,Fox News,gas,2
2018-07,Fox News,island,2
2018-07,Fox News,residents,2
2018-07,Fox News,glacier,2
2018-07,Fox News,village,2
2018-07,Fox News,punish,1
2018-07,Fox News,promise demonstrated world,1
2018-07,Fox News,president trump boldly,1
2018-08,The New York Times,proposal,6
2018-08,The New York Times,pollution,5
2018-08,The New York Times,trump,5
2018-08,The New York Times,plants,5
2018-08,The New York Times,rules,5
2018-08,The New York Times,administration,4
2018-08,The New York Times,scientists,4
2018-08,The New York Times,president,4
2018-08,The New York Times,years,3
2018-08,The New York Times,temperatures,3
2018-08,The New York Times,coal,3
2018-08,The New York Times,new,3
2018-08,The New York Times,states,3
2018-08,The New York Times,newsletter,3
2018-08,The New York Times,coal plants,3
2018-08,Fox News,earths,3
2018-08,Fox News,arctic,3
2018-08,Fox News,leading,2
2018-08,Fox News,changing,2
2018-08,Fox News,frozen,2
2018-08,Fox News,state,2
2018-08,Fox News,california,2
2018-08,Fox News,gas,2
2018-08,Fox News,carbon,2
2018-08,Fox News,greenhouse,2
2018-08,Fox News,greenhouse gas,2
2018-08,Fox News,ice,2
2018-08,Fox News,atmosphere,2
2018-08,Fox News,say,2
2018-08,Fox News,vast,2
2018-09,The New York Times,new,6
2018-09,The New York Times,rules,5
2018-09,The New York Times,storm,3
2018-09,The New York Times,state,3
2018-09,The New York Times,companies,3
2018-09,The New York Times,major,3
2018-09,The New York Times,leaders,3
2018-09,The New York Times,plastic,3
2018-09,The New York Times,administration,3
2018-09,The New York Times,pollution,2
2018-09,The New York Times,trump administration,2
2018-09,The New York Times,experts say,2
2018-09,The New York Times,oil,2
2018-09,The New York Times,conditions,2
2018-09,The New York Times,pruitt,2
2018-09,Fox News,carolinas,4
2018-09,Fox News,florence,4
2018-09,Fox News,new,4
2018-09,Fox News,wildfires,4
2018-09,Fox News,state,4
2018-09,Fox News,power,4
2018-09,Fox News,storm,4
2018-09,Fox News,california,3
2018-09,Fox News,paris,3
2018-09,Fox News,emissions,3
2018-09,Fox News,vulnerable,3
2018-09,Fox News,hurricane,3
2018-09,Fox News,trump,3
2018-09,Fox News,coast,3
2018-09,Fox News,hurricane florence,3
2018-10,The New York Times,new,9
2018-10,The New York Times,states,5
2018-10,The New York Times,storm,3
2018-10,The New York Times,set,3
2018-10,The New York Times,tax,3
2018-10,The New York Times,months,3
2018-10,The New York Times,news,3
2018-10,The New York Times,emissions,3
2018-10,The New York Times,interior,3
2018-10,The New York Times,carbon,3
2018-10,The New York Times,animal,3
2018-10,The New York Times,scientists,3
2018-10,The New York Times,say,3
2018-10,The New York Times,animals,2
2018-10,The New York Times,scientists say,2
2018-10,Fox News,new,4
2018-10,Fox News,ice,3
2018-10,Fox News,hurricane florence,3
2018-10,Fox News,hurricane,3
2018-10,Fox News,florence,3
2018-10,Fox News,north,2
2018-10,Fox News,coast,2
2018-10,Fox News,scientists,2
2018-10,Fox News,potentially,2
2018-10,Fox News,devastating,2
2018-10,Fox News,extreme,2
2018-10,Fox News,carolina,2
2018-10,Fox News,ross ice shelf,1
2018-10,Fox News,ross ice,1
2018-10,Fox News,rivers ice carry,1
2018-11,The New York Times,world,5
2018-11,The New York Times,states,5
2018-11,The New York Times,president,4
2018-11,The New York Times,united,4
2018-11,The New York Times,new,3
2018-11,The New York Times,united states,3
2018-11,The New York Times,energy,3
2018-11,The New York Times,carbon,3
2018-11,The New York Times,researchers,3
2018-11,The New York Times,trump,3
2018-11,The New York Times,administration,2
2018-11,The New York Times,thats,2
2018-11,The New York Times,california,2
2018-11,The New York Times,chemical,2
2018-11,The New York Times,coal,2
2018-11,Fox News,years,4
2018-11,Fox News,hurricane,3
2018-11,Fox News,waters,3
2018-11,Fox News,new,3
2018-11,Fox News,warmer,2
2018-11,Fox News,nations,2
2018-11,Fox News,say,2
2018-11,Fox News,warmer waters,2
2018-11,Fox News,insects,2
2018-11,Fox News,rainiest,1
2018-11,Fox News,rainforest scientists say,1
2018-11,Fox News,rainforest scientists,1
2018-11,Fox News,rainforest,1
2018-11,Fox News,rainfall meteorologist calculated,1
2018-11,Fox News,rainfall meteorologist,1
2018-12,The New York Times,united states,4
2018-12,The New York Times,administration,4
2018-12,The New York Times,states,4
2018-12,The New York Times,united,4
2018-12,The New York Times,new,4
2018-12,The New York Times,drilling,4
2018-12,The New York Times,track,3
2018-12,The New York Times,rules,3
2018-12,The New York Times,make,3
2018-12,The New York Times,arctic,3
2018-12,The New York Times,barrier,2
2018-12,The New York Times,scientists,2
2018-12,The New York Times,set,2
2018-12,The New York Times,waste,2
2018-12,The New York Times,slow,2
2018-12,Fox News,president,3
2018-12,Fox News,nature,3
2018-12,Fox News,new,3
2018-12,Fox News,major,2
2018-12,Fox News,californias,2
2018-12,Fox News,trump,2
2018-12,Fox News,got,2
2018-12,Fox News,winter,2
2018-12,Fox News,house,2
2018-12,Fox News,researchers,2
2018-12,Fox News,years,2
2018-12,Fox News,humans,2
2018-12,Fox News,water,2
2018-12,Fox News,scientists,2
2018-12,Fox News,pose danger health,1
2019-01,The New York Times,carbon,3
2019-01,The New York Times,years,3
2019-01,The New York Times,water,3
2019-01,The New York Times,new,3
2019-01,The New York Times,emissions,3
2019-01,The New York Times,important,3
2019-01,The New York Times,panel,2
2019-01,The New York Times,shutdown,2
2019-01,The New York Times,plants,2
2019-01,The New York Times,huge,2
2019-01,The New York Times,trump,2
2019-01,The New York Times,animals,2
2019-01,The New York Times,implications,2
2019-01,The New York Times,key,2
2019-01,The New York Times,government,2
2019-01,Fox News,new,5
2019-01,Fox News,ice,2
2019-01,Fox News,years,2
2019-01,Fox News,including,2
2019-01,Fox News,cause,2
2019-01,Fox News,oceans,2
2019-01,Fox News,humans,2
2019-01,Fox News,actually,1
2019-01,Fox News,oceans years equivalent,1
2019-01,Fox News,parts experienced,1
2019-01,Fox News,parts,1
2019-01,Fox News,opinion,1
2019-01,Fox News,official winter doesnt,1
2019-01,Fox News,official winter,1
2019-01,Fox News,official,1
2019-02,The New York Times,new,6
2019-02,The New York Times,years,4
2019-02,The New York Times,house,3
2019-02,The New York Times,green new deal,3
2019-02,The New York Times,green new,3
2019-02,The New York Times,green,3
2019-02,The New York Times,deal,3
2019-02,The New York Times,president,3
2019-02,The New York Times,new deal,3
2019-02,The New York Times,president trump,2
2019-02,The New York Times,land,2
2019-02,The New York Times,plans,2
2019-02,The New York Times,protections,2
2019-02,The New York Times,fish,2
2019-02,The New York Times,science,2
2019-02,Fox News,new,8
2019-02,Fox News,deal,4
2019-02,Fox News,new deal,4
2019-02,Fox News,green,4
2019-02,Fox News,green new,4
2019-02,Fox News,green new deal,4
2019-02,Fox News,nasa,3
2019-02,Fox News,years,3
2019-02,Fox News,extreme,2
2019-02,Fox News,twothirds,2
2019-02,Fox News,emissions,2
2019-02,Fox News,scientists,2
2019-02,Fox News,polar vortex reminds,1
2019-02,Fox News,polar,1
2019-02,Fox News,polar vortex,1
2019-03,The New York Times,green,3
2019-03,The New York Times,species,3
2019-03,The New York Times,say,3
2019-03,The New York Times,water,3
2019-03,The New York Times,scientists,3
2019-03,The New York Times,acres,2
2019-03,The New York Times,drilling,2
2019-03,The New York Times,broad,2
2019-03,The New York Times,weather,2
2019-03,The New York Times,green new deal,2
2019-03,The New York Times,mr,2
2019-03,The New York Times,commercial,2
2019-03,The New York Times,land,2
2019-03,The New York Times,seen,2
2019-03,The New York Times,costa,2
2019-03,Fox News,new,5
2019-03,Fox News,founder,3
2019-03,Fox News,strike,3
2019-03,Fox News,ice,3
2019-03,Fox News,warned,3
2019-03,Fox News,movement,3
2019-03,Fox News,birth,3
2019-03,Fox News,birth strike,3
2019-03,Fox News,civilization,3
2019-03,Fox News,trigger civilization breakdown,2
2019-03,Fox News,trigger civilization,2
2019-03,Fox News,trigger,2
2019-03,Fox News,left,2
2019-03,Fox News,increase,2
2019-03,Fox News,breakdown founder socalled,2
2019-04,The New York Times,new,6
2019-04,The New York Times,trump,4
2019-04,The New York Times,species,4
2019-04,The New York Times,ocean,3
2019-04,The New York Times,methane,2
2019-04,The New York Times,weather,2
2019-04,The New York Times,habitats,2
2019-04,The New York Times,scientists,2
2019-04,The New York Times,looking,2
2019-04,The New York Times,air,2
2019-04,The New York Times,increasingly,2
2019-04,The New York Times,orbiter,2
2019-04,The New York Times,expected,2
2019-04,The New York Times,refuge,2
2019-04,The New York Times,trees,2
2019-04,Fox News,new,12
2019-04,Fox News,rep,5
2019-04,Fox News,ocasiocortez,5
2019-04,Fox News,melting,5
2019-04,Fox News,alexandria ocasiocortez,5
2019-04,Fox News,ice,5
2019-04,Fox News,alexandria,5
2019-04,Fox News,green new deal,4
2019-04,Fox News,green,4
2019-04,Fox News,alexandria ocasiocortez dny,4
2019-04,Fox News,years,4
2019-04,Fox News,ocasiocortez dny,4
2019-04,Fox News,green new,4
2019-04,Fox News,world,4
2019-04,Fox News,new deal,4
2019-05,The New York Times,new,9
2019-05,The New York Times,companies,5
2019-05,The New York Times,arctic,3
2019-05,The New York Times,agency,3
2019-05,The New York Times,australia,3
2019-05,The New York Times,china,3
2019-05,The New York Times,drought,3
2019-05,The New York Times,united,3
2019-05,The New York Times,researchers,2
2019-05,The New York Times,patterns,2
2019-05,The New York Times,new ways,2
2019-05,The New York Times,countries,2
2019-05,The New York Times,nations,2
2019-05,The New York Times,hurricanes,2
2019-05,The New York Times,ways,2
2019-05,Fox News,democratic,4
2019-05,Fox News,joe biden,3
2019-05,Fox News,spend,3
2019-05,Fox News,alexandria ocasiocortez,3
2019-05,Fox News,alexandria,3
2019-05,Fox News,joe,3
2019-05,Fox News,jesse watters,3
2019-05,Fox News,jesse,3
2019-05,Fox News,biden,3
2019-05,Fox News,trillion,3
2019-05,Fox News,years,3
2019-05,Fox News,rep alexandria ocasiocortez,3
2019-05,Fox News,watters,3
2019-05,Fox News,ocasiocortez,3
2019-05,Fox News,rep,3
2019-06,The New York Times,new,7
2019-06,The New York Times,gas,4
2019-06,The New York Times,natural gas,3
2019-06,The New York Times,years,3
2019-06,The New York Times,coal,3
2019-06,The New York Times,natural,3
2019-06,The New York Times,risks,3
2019-06,The New York Times,trump,3
2019-06,The New York Times,scientists,3
2019-06,The New York Times,curiosity,2
2019-06,The New York Times,states,2
2019-06,The New York Times,facing,2
2019-06,The New York Times,additional,2
2019-06,The New York Times,world,2
2019-06,The New York Times,melting,2
2019-06,Fox News,new,8
2019-06,Fox News,rep alexandria,6
2019-06,Fox News,ocasiocortez,6
2019-06,Fox News,rep,6
2019-06,Fox News,rep alexandria ocasiocortez,6
2019-06,Fox News,alexandria ocasiocortez,6
2019-06,Fox News,alexandria,6
2019-06,Fox News,joe,5
2019-06,Fox News,democrats,4
2019-06,Fox News,new deal,4
2019-06,Fox News,alexandria ocasiocortez dny,4
2019-06,Fox News,weather,4
2019-06,Fox News,ocasiocortez dny,4
2019-06,Fox News,deal,4
2019-06,Fox News,state,4
2019-07,The New York Times,new,6
2019-07,The New York Times,states,5
2019-07,The New York Times,years,4
2019-07,The New York Times,rules,4
2019-07,The New York Times,united,4
2019-07,The New York Times,homes,4
2019-07,The New York Times,disasters,3
2019-07,The New York Times,june,3
2019-07,The New York Times,trees,3
2019-07,The New York Times,agency,3
2019-07,The New York Times,scientists,3
2019-07,The New York Times,say,3
2019-07,The New York Times,government,3
2019-07,The New York Times,united states,3
2019-07,The New York Times,historic,3
2019-07,Fox News,new,4
2019-07,Fox News,president,3
2019-07,Fox News,democratic,3
2019-07,Fox News,oregon,2
2019-07,Fox News,democrat,2
2019-07,Fox News,new york,2
2019-07,Fox News,rise,2
2019-07,Fox News,democratic presidential,2
2019-07,Fox News,presidential,2
2019-07,Fox News,city,2
2019-07,Fox News,republican,2
2019-07,Fox News,york,2
2019-07,Fox News,sen,2
2019-07,Fox News,rep alexandria,1
2019-07,Fox News,rep alexandria ocasiocortez,1
2019-08,The New York Times,new,6
2019-08,The New York Times,researchers,6
2019-08,The New York Times,united,3
2019-08,The New York Times,growing,3
2019-08,The New York Times,say,3
2019-08,The New York Times,previous recordholder july,2
2019-08,The New York Times,land,2
2019-08,The New York Times,previous recordholder,2
2019-08,The New York Times,previous,2
2019-08,The New York Times,species,2
2019-08,The New York Times,gas,2
2019-08,The New York Times,scientists,2
2019-08,The New York Times,nations,2
2019-08,The New York Times,food production,2
2019-08,The New York Times,sail,2
2019-08,Fox News,new,11
2019-08,Fox News,presidential,5
2019-08,Fox News,democratic,4
2019-08,Fox News,president,4
2019-08,Fox News,sen,4
2019-08,Fox News,news,3
2019-08,Fox News,private,3
2019-08,Fox News,perry,3
2019-08,Fox News,prince,3
2019-08,Fox News,emissions,3
2019-08,Fox News,al,3
2019-08,Fox News,worlds,3
