Date,Source,Words,Document Frequency
2021-04,Fox News,state,5
2021-04,Fox News,issue,5
2021-04,Fox News,american,5
2021-04,Fox News,president biden,5
2021-04,Fox News,bidens,5
2021-05,The New York Times,new,10
2021-05,The New York Times,administration,9
2021-05,The New York Times,biden,6
2021-05,The New York Times,biden administration,6
2021-05,The New York Times,fossil,4
2021-05,The New York Times,years,4
2021-05,The New York Times,energy,3
2021-05,The New York Times,wind,3
2021-05,The New York Times,big,3
2021-05,The New York Times,world,3
2021-05,The New York Times,clean,3
2021-05,The New York Times,scientists,3
2021-05,The New York Times,long,3
2021-05,The New York Times,fuel,3
2021-05,The New York Times,power,3
2021-05,Fox News,biden,9
2021-05,Fox News,president,7
2021-05,Fox News,john,5
2021-05,Fox News,administration,4
2021-05,Fox News,white,4
2021-05,Fox News,white house,3
2021-05,Fox News,house,3
2021-05,Fox News,department,3
2021-05,Fox News,day,3
2021-05,Fox News,biden administration,3
2021-05,Fox News,president biden,3
2021-05,Fox News,john kerry,3
2021-05,Fox News,kerry,3
2021-05,Fox News,state,3
2021-05,Fox News,envoy,3
2021-06,The New York Times,biden,6
2021-06,The New York Times,oil,5
2021-06,The New York Times,new,5
2021-06,The New York Times,administration,4
2021-06,The New York Times,water,4
2021-06,The New York Times,president,3
2021-06,The New York Times,parts,3
2021-06,The New York Times,federal,3
2021-06,The New York Times,president biden,3
2021-06,The New York Times,better,3
2021-06,The New York Times,small,3
2021-06,The New York Times,states,3
2021-06,The New York Times,oil gas,3
2021-06,The New York Times,california,3
2021-06,The New York Times,drought,3
2021-06,Fox News,heat,10
2021-06,Fox News,national,9
2021-06,Fox News,administration,9
2021-06,Fox News,states,7
2021-06,Fox News,atmospheric,6
2021-06,Fox News,biden,6
2021-06,Fox News,nasa,6
2021-06,Fox News,oceanic,6
2021-06,Fox News,oceanic atmospheric,6
2021-06,Fox News,administration noaa,6
2021-06,Fox News,oceanic atmospheric administration,6
2021-06,Fox News,atmospheric administration noaa,6
2021-06,Fox News,atmospheric administration,6
2021-06,Fox News,new,6
2021-06,Fox News,national oceanic,6
2021-07,The New York Times,heat,9
2021-07,The New York Times,extreme,8
2021-07,The New York Times,scientists,7
2021-07,The New York Times,say,6
2021-07,The New York Times,world,5
2021-07,The New York Times,new,5
2021-07,The New York Times,flooding,4
2021-07,The New York Times,weather,4
2021-07,The New York Times,countries,3
2021-07,The New York Times,emissions,3
2021-07,The New York Times,scientists say,3
2021-07,The New York Times,water,3
2021-07,The New York Times,extreme weather,3
2021-07,The New York Times,bears,2
2021-07,The New York Times,electric,2
2021-07,Fox News,biden,9
2021-07,Fox News,historic,7
2021-07,Fox News,drought,7
2021-07,Fox News,western,6
2021-07,Fox News,washington,6
2021-07,Fox News,administration,6
2021-07,Fox News,president,6
2021-07,Fox News,oregon,5
2021-07,Fox News,china,5
2021-07,Fox News,states,5
2021-07,Fox News,wildfires,5
2021-07,Fox News,california,5
2021-07,Fox News,human,5
2021-07,Fox News,burning,5
2021-07,Fox News,president biden,5
2021-08,The New York Times,states,5
2021-08,The New York Times,scientists,5
2021-08,The New York Times,united,4
2021-08,The New York Times,administration,4
2021-08,The New York Times,biden,4
2021-08,The New York Times,major,3
2021-08,The New York Times,impacts,3
2021-08,The New York Times,united states,3
2021-08,The New York Times,experts,3
2021-08,The New York Times,devastating,3
2021-08,The New York Times,storms,3
2021-08,The New York Times,dangers,3
2021-08,The New York Times,president,3
2021-08,The New York Times,devastating impacts,3
2021-08,The New York Times,worse,3
2021-08,Fox News,wildfires,6
2021-08,Fox News,wildfire,6
2021-08,Fox News,weather,5
2021-08,Fox News,flames,5
2021-08,Fox News,california,5
2021-08,Fox News,firefighters,4
2021-08,Fox News,world,4
2021-08,Fox News,western,4
2021-08,Fox News,largest,3
2021-08,Fox News,county,3
2021-08,Fox News,new,3
2021-08,Fox News,states,3
2021-08,Fox News,water,3
2021-08,Fox News,homes,2
2021-08,Fox News,continued,2
2021-09,The New York Times,say,5
2021-09,The New York Times,species,4
2021-09,The New York Times,new,4
2021-09,The New York Times,reduce,3
2021-09,The New York Times,talks,3
2021-09,The New York Times,limits,3
2021-09,The New York Times,world,3
2021-09,The New York Times,worse,3
2021-09,The New York Times,power,3
2021-09,The New York Times,experts say,3
2021-09,The New York Times,experts,3
2021-09,The New York Times,greenhouse,3
2021-09,The New York Times,communities,3
2021-09,The New York Times,health,2
2021-09,The New York Times,congress,2
2021-09,Fox News,new,9
2021-09,Fox News,california,7
2021-09,Fox News,president,6
2021-09,Fox News,wildfires,5
2021-09,Fox News,biden,4
2021-09,Fox News,americans,4
2021-09,Fox News,claimed,4
2021-09,Fox News,states,4
2021-09,Fox News,world,4
2021-09,Fox News,die,4
2021-09,Fox News,firefighters,4
2021-09,Fox News,coronavirus pandemic,3
2021-09,Fox News,hurricane,3
2021-09,Fox News,western,3
2021-09,Fox News,flooding,3
2021-10,The New York Times,new,7
2021-10,The New York Times,president,6
2021-10,The New York Times,world,5
2021-10,The New York Times,dangerous,4
2021-10,The New York Times,coal,4
2021-10,The New York Times,countries,4
2021-10,The New York Times,energy,3
2021-10,The New York Times,including,3
2021-10,The New York Times,projects,3
2021-10,The New York Times,talks,3
2021-10,The New York Times,glasgow,3
2021-10,The New York Times,house,3
2021-10,The New York Times,united,3
2021-10,The New York Times,largest,3
2021-10,The New York Times,clean,3
2021-10,Fox News,president,8
2021-10,Fox News,biden,7
2021-10,Fox News,conference,6
2021-10,Fox News,california,6
2021-10,Fox News,world,5
2021-10,Fox News,new,5
2021-10,Fox News,nations,5
2021-10,Fox News,president biden,5
2021-10,Fox News,activists,5
2021-10,Fox News,officials,4
2021-10,Fox News,activist,4
2021-10,Fox News,federal,4
2021-10,Fox News,white,4
2021-10,Fox News,glasgow,4
2021-10,Fox News,northern,4
2021-11,The New York Times,glasgow,12
2021-11,The New York Times,new,11
2021-11,The New York Times,agreement,10
2021-11,The New York Times,countries,8
2021-11,The New York Times,gas,6
2021-11,The New York Times,scientists,5
2021-11,The New York Times,world,5
2021-11,The New York Times,negotiators,5
2021-11,The New York Times,emissions,5
2021-11,The New York Times,say,4
2021-11,The New York Times,summit,4
2021-11,The New York Times,oil,4
2021-11,The New York Times,talks,4
2021-11,The New York Times,president,4
2021-11,The New York Times,united,4
2021-11,Fox News,president,17
2021-11,Fox News,glasgow,16
2021-11,Fox News,biden,16
2021-11,Fox News,summit,15
2021-11,Fox News,conference,13
2021-11,Fox News,scotland,13
2021-11,Fox News,cop,12
2021-11,Fox News,united,11
2021-11,Fox News,china,9
2021-11,Fox News,president biden,9
2021-11,Fox News,united nations,8
2021-11,Fox News,nations,8
2021-11,Fox News,news,7
2021-11,Fox News,emissions,7
2021-11,Fox News,glasgow scotland,7
2021-12,The New York Times,new,4
2021-12,The New York Times,communities,3
2021-12,The New York Times,scientists,3
2021-12,The New York Times,states,3
2021-12,The New York Times,favor,3
2021-12,The New York Times,energy,3
2021-12,The New York Times,gas,3
2021-12,The New York Times,favor wealthy,2
2021-12,The New York Times,tend,2
2021-12,The New York Times,tend favor,2
2021-12,The New York Times,crisis,2
2021-12,The New York Times,infrastructure,2
2021-12,The New York Times,united,2
2021-12,The New York Times,programs,2
2021-12,The New York Times,united states,2
2021-12,Fox News,line pipeline,3
2021-12,Fox News,biden,3
2021-12,Fox News,line,3
2021-12,Fox News,open,3
2021-12,Fox News,pipeline,3
2021-12,Fox News,pipeline open,3
2021-12,Fox News,emphasize,3
2021-12,Fox News,michigan,2
2021-12,Fox News,new,2
2021-12,Fox News,ohio,2
2021-12,Fox News,president,2
2021-12,Fox News,line pipeline open,2
2021-12,Fox News,walberg michigan bob,1
2021-12,Fox News,walberg michigan,1
2021-12,Fox News,open biden,1
2022-01,The New York Times,researchers,5
2022-01,The New York Times,new,4
2022-01,The New York Times,say,3
2022-01,The New York Times,ice,3
2022-01,The New York Times,effects,3
2022-01,The New York Times,president,3
2022-01,The New York Times,high,3
2022-01,The New York Times,leases,3
2022-01,The New York Times,scientists,3
2022-01,The New York Times,united,2
2022-01,The New York Times,eruptions,2
2022-01,The New York Times,mining,2
2022-01,The New York Times,probably won,2
2022-01,The New York Times,understand,2
2022-01,The New York Times,power,2
2022-01,Fox News,new,5
2022-01,Fox News,biden,3
2022-01,Fox News,country,3
2022-01,Fox News,minister,3
2022-01,Fox News,president,3
2022-01,Fox News,nuclear power plant,2
2022-01,Fox News,closed,2
2022-01,Fox News,flamed los angeles,2
2022-01,Fox News,doing,2
2022-01,Fox News,greenhouse,2
2022-01,Fox News,greenhouse gas,2
2022-01,Fox News,greenhouse gas emissions,2
2022-01,Fox News,flamed los,2
2022-01,Fox News,editorial,2
2022-01,Fox News,combating,2
2022-02,The New York Times,new,10
2022-02,The New York Times,federal,5
2022-02,The New York Times,oil,4
2022-02,The New York Times,president,4
2022-02,The New York Times,started,3
2022-02,The New York Times,scientists,3
2022-02,The New York Times,pollution,3
2022-02,The New York Times,gas,3
2022-02,The New York Times,expected,3
2022-02,The New York Times,biden,3
2022-02,The New York Times,emissions,3
2022-02,The New York Times,major new scientific,2
2022-02,The New York Times,major new,2
2022-02,The New York Times,major,2
2022-02,The New York Times,weddell,2
2022-02,Fox News,national,5
2022-02,Fox News,white,3
2022-02,Fox News,house,3
2022-02,Fox News,issues surrounding,2
2022-02,Fox News,greenhouse gas,2
2022-02,Fox News,greenhouse gas emissions,2
2022-02,Fox News,guard,2
2022-02,Fox News,house national,2
2022-02,Fox News,house national academies,2
2022-02,Fox News,important,2
2022-02,Fox News,aaf founder,2
2022-02,Fox News,important purpose louisiana,2
2022-02,Fox News,including,2
2022-02,Fox News,including establishment,2
2022-02,Fox News,including establishment electric,2
2022-03,The New York Times,new,6
2022-03,The New York Times,gas,5
2022-03,The New York Times,oil,5
2022-03,The New York Times,biden,4
2022-03,The New York Times,scientists,4
2022-03,The New York Times,president,4
2022-03,The New York Times,researchers,4
2022-03,The New York Times,energy,4
2022-03,The New York Times,ukraine,3
2022-03,The New York Times,fossil,3
2022-03,The New York Times,biodiversity,3
2022-03,The New York Times,oil gas,3
2022-03,The New York Times,state,3
2022-03,The New York Times,transition,3
2022-03,The New York Times,government,3
2022-03,Fox News,ukraine,7
2022-03,Fox News,john,5
2022-03,Fox News,john kerry,5
2022-03,Fox News,kerry,5
2022-03,Fox News,scientists,4
2022-03,Fox News,russian,4
2022-03,Fox News,vladimir,4
2022-03,Fox News,vladimir putin,4
2022-03,Fox News,putin,4
2022-03,Fox News,biden,3
2022-03,Fox News,war,3
2022-03,Fox News,energy,3
2022-03,Fox News,crisis,3
2022-03,Fox News,problem,2
2022-03,Fox News,presidential envoy,2
2022-04,The New York Times,new,10
2022-04,The New York Times,emissions,4
2022-04,The New York Times,americans,4
2022-04,The New York Times,gas,4
2022-04,The New York Times,years,4
2022-04,The New York Times,say,4
2022-04,The New York Times,water,3
2022-04,The New York Times,country,3
2022-04,The New York Times,scientists,3
2022-04,The New York Times,service,3
2022-04,The New York Times,prices,3
2022-04,The New York Times,cities,3
2022-04,The New York Times,rising,3
2022-04,The New York Times,weather,3
2022-04,The New York Times,president,3
2022-04,Fox News,president,12
2022-04,Fox News,biden,10
2022-04,Fox News,president biden,9
2022-04,Fox News,new,8
2022-04,Fox News,wildfires,6
2022-04,Fox News,working,5
2022-04,Fox News,evacuations,5
2022-04,Fox News,fox,5
2022-04,Fox News,news,4
2022-04,Fox News,day,4
2022-04,Fox News,forced,4
2022-04,Fox News,crews,4
2022-04,Fox News,agenda,4
2022-04,Fox News,americans,4
2022-04,Fox News,residents,4
2022-05,The New York Times,new,9
2022-05,The New York Times,researchers,5
2022-05,The New York Times,law,3
2022-05,The New York Times,led,3
2022-05,The New York Times,money,3
2022-05,The New York Times,say,3
2022-05,The New York Times,gas,3
2022-05,The New York Times,south,3
2022-05,The New York Times,wildfires,3
2022-05,The New York Times,companies,3
2022-05,The New York Times,battle,2
2022-05,The New York Times,highest,2
2022-05,The New York Times,asia,2
2022-05,The New York Times,states,2
2022-05,The New York Times,oil gas,2
2022-05,Fox News,new,17
2022-05,Fox News,wildfires,14
2022-05,Fox News,mexico,10
2022-05,Fox News,fires,10
2022-05,Fox News,new mexico,10
2022-05,Fox News,conditions,10
2022-05,Fox News,weather,7
2022-05,Fox News,brush,6
2022-05,Fox News,dangerous,6
2022-05,Fox News,grass,6
2022-05,Fox News,crews,6
2022-05,Fox News,continued,6
2022-05,Fox News,president biden,5
2022-05,Fox News,president,5
2022-05,Fox News,biden,5
2022-06,The New York Times,storm,6
2022-06,The New York Times,gas,5
2022-06,The New York Times,make,4
2022-06,The New York Times,scientists,4
2022-06,The New York Times,researchers,4
2022-06,The New York Times,oil,4
2022-06,The New York Times,drilling,3
2022-06,The New York Times,ways,3
2022-06,The New York Times,better,3
2022-06,The New York Times,world,3
2022-06,The New York Times,supreme court,3
2022-06,The New York Times,court,3
2022-06,The New York Times,energy,3
2022-06,The New York Times,supreme,3
2022-06,The New York Times,oil gas,3
2022-06,Fox News,york,5
2022-06,Fox News,new,5
2022-06,Fox News,new york,5
2022-06,Fox News,biden,5
2022-06,Fox News,times,3
2022-06,Fox News,green,3
2022-06,Fox News,hot,3
2022-06,Fox News,air,3
2022-06,Fox News,summer,3
2022-06,Fox News,carbon,3
2022-06,Fox News,york times,3
2022-06,Fox News,new york times,3
2022-06,Fox News,residents,3
2022-06,Fox News,heat,3
2022-06,Fox News,break,2
2022-07,The New York Times,president,7
2022-07,The New York Times,new,6
2022-07,The New York Times,fossil,5
2022-07,The New York Times,say,5
2022-07,The New York Times,energy,5
2022-07,The New York Times,states,4
2022-07,The New York Times,gas,4
2022-07,The New York Times,european,3
2022-07,The New York Times,west,3
2022-07,The New York Times,senator,3
2022-07,The New York Times,virginia,3
2022-07,The New York Times,united states,3
2022-07,The New York Times,fossil fuel,3
2022-07,The New York Times,united,3
2022-07,The New York Times,fuel,3
2022-07,Fox News,news,20
2022-07,Fox News,fox,19
2022-07,Fox News,president,19
2022-07,Fox News,fox news,19
2022-07,Fox News,biden,17
2022-07,Fox News,sen,13
2022-07,Fox News,activists,13
2022-07,Fox News,joe,13
2022-07,Fox News,new,12
2022-07,Fox News,manchin,11
2022-07,Fox News,agenda,11
2022-07,Fox News,president biden,11
2022-07,Fox News,bidens,10
2022-07,Fox News,joe manchin,10
2022-07,Fox News,sen joe,8
2022-08,The New York Times,pollution,4
2022-08,The New York Times,world,4
2022-08,The New York Times,new,3
2022-08,The New York Times,projects,3
2022-08,The New York Times,fossil,3
2022-08,The New York Times,fossil fuel,3
2022-08,The New York Times,scientists,3
2022-08,The New York Times,fuel,3
2022-08,The New York Times,fuel projects,2
2022-08,The New York Times,companies,2
2022-08,The New York Times,gases,2
2022-08,The New York Times,felt,2
2022-08,The New York Times,valley,2
2022-08,The New York Times,deadly,2
2022-08,The New York Times,life,2
2022-08,Fox News,energy,11
2022-08,Fox News,host,10
2022-08,Fox News,fox,9
2022-08,Fox News,green,6
2022-08,Fox News,inflation,6
2022-08,Fox News,inflation reduction,6
2022-08,Fox News,reduction,6
2022-08,Fox News,act,5
2022-08,Fox News,reduction act,5
2022-08,Fox News,inflation reduction act,5
2022-08,Fox News,fox business,5
2022-08,Fox News,fox business host,5
2022-08,Fox News,business,5
2022-08,Fox News,business host,5
2022-08,Fox News,biden,5
2022-09,The New York Times,say,5
2022-09,The New York Times,researchers,5
2022-09,The New York Times,company,4
2022-09,The New York Times,new,4
2022-09,The New York Times,scientists,4
2022-09,The New York Times,water,4
2022-09,The New York Times,energy,3
2022-09,The New York Times,leaders,3
2022-09,The New York Times,storm,3
2022-09,The New York Times,communities,3
2022-09,The New York Times,fuels,3
2022-09,The New York Times,fossil fuels,3
2022-09,The New York Times,fossil,3
2022-09,The New York Times,countries,3
2022-09,The New York Times,homes,3
2022-09,Fox News,fox,9
2022-09,Fox News,state,8
2022-09,Fox News,news,8
2022-09,Fox News,new,7
2022-09,Fox News,california,7
2022-09,Fox News,biden,7
2022-09,Fox News,fox news,7
2022-09,Fox News,electric,6
2022-09,Fox News,discuss,6
2022-09,Fox News,gov,6
2022-09,Fox News,vehicles,5
2022-09,Fox News,electric vehicles,5
2022-09,Fox News,president,4
2022-09,Fox News,ban,4
2022-09,Fox News,reacts,4
2022-10,The New York Times,world,5
2022-10,The New York Times,gas,3
2022-10,The New York Times,new,3
2022-10,The New York Times,big,3
2022-10,The New York Times,scientists,3
2022-10,The New York Times,emissions,3
2022-10,The New York Times,nations,3
2022-10,The New York Times,taking steps,2
2022-10,The New York Times,problems,2
2022-10,The New York Times,pressing problems hunger,2
2022-10,The New York Times,pressing problems,2
2022-10,The New York Times,pressing,2
2022-10,The New York Times,tackle,2
2022-10,The New York Times,tackle humanity,2
2022-10,The New York Times,tackle humanity pressing,2
2022-10,Fox News,new,13
2022-10,Fox News,new york times,9
2022-10,Fox News,new york,9
2022-10,Fox News,times,9
2022-10,Fox News,york times,9
2022-10,Fox News,york,9
2022-10,Fox News,activists,6
2022-10,Fox News,fox,5
2022-10,Fox News,national,5
2022-10,Fox News,blame,4
2022-10,Fox News,office,4
2022-10,Fox News,oil,4
2022-10,Fox News,wisconsin,4
2022-10,Fox News,administration,4
2022-10,Fox News,washington,4
2022-11,The New York Times,countries,13
2022-11,The New York Times,nations,8
2022-11,The New York Times,leaders,7
2022-11,The New York Times,united,7
2022-11,The New York Times,world,7
2022-11,The New York Times,cop,7
2022-11,The New York Times,new,7
2022-11,The New York Times,talks,6
2022-11,The New York Times,states,6
2022-11,The New York Times,united states,6
2022-11,The New York Times,damage,5
2022-11,The New York Times,president,5
2022-11,The New York Times,developing,5
2022-11,The New York Times,summit,5
2022-11,The New York Times,loss damage,4
2022-11,Fox News,cop,15
2022-11,Fox News,nations,13
2022-11,Fox News,conference,10
2022-11,Fox News,egypt,9
2022-11,Fox News,poor,8
2022-11,Fox News,united,8
2022-11,Fox News,poor nations,8
2022-11,Fox News,summit,7
2022-11,Fox News,activist,7
2022-11,Fox News,activists,7
2022-11,Fox News,president,6
2022-11,Fox News,biden,6
2022-11,Fox News,cop conference,6
2022-11,Fox News,house,6
2022-11,Fox News,emissions,5
2022-12,The New York Times,new,7
2022-12,The New York Times,united states,5
2022-12,The New York Times,states,5
2022-12,The New York Times,scientists,5
2022-12,The New York Times,united,5
2022-12,The New York Times,huge,3
2022-12,The New York Times,researchers,3
2022-12,The New York Times,activists,2
2022-12,The New York Times,risks,2
2022-12,The New York Times,nations,2
2022-12,The New York Times,legal,2
2022-12,The New York Times,law,2
2022-12,The New York Times,freeze,2
2022-12,The New York Times,game,2
2022-12,The New York Times,wind,2
2022-12,Fox News,new,4
2022-12,Fox News,leaving digital,2
2022-12,Fox News,outlet,2
2022-12,Fox News,curb,2
2022-12,Fox News,outlet citing overdependence,2
2022-12,Fox News,harry,2
2022-12,Fox News,outlet citing,2
2022-12,Fox News,semafor,2
2022-12,Fox News,semafor announced,2
2022-12,Fox News,semafor announced leaving,2
2022-12,Fox News,house,2
2022-12,Fox News,chevron,2
2022-12,Fox News,spindle,2
2022-12,Fox News,spindle editor,2
2022-12,Fox News,spindle editor recentlylaunched,2
